"","code","DENV","YFV","forest_area","forest_loss","area","x","y","mean_elevation","population","avg.rainfall","dryseason","percent_forest","percent_forest_loss","YFVoccurence","DENVprevalence"
"32","1302603",23223,2,949419.751278177,212.121826320852,11451.9397122151,-60.2596985368286,-2.62587533175921,66.924736021506,2020301,208.8812999,2,82.9047109168314,0.000223422596839047,1,0.00114948218112054
"33","1302702",17,0,4560387.67301079,1031.57384180119,48491.3604932183,-61.4461647149685,-6.45804543405944,70.6887770914703,52200,213.6995405,3,94.0453645067059,0.00022620310284282,0,3.25670498084291e-05
"34","1302900",191,0,3863664.57361259,493.664794432925,40163.9216666348,-58.0600514765218,-4.98358675193874,100.440477132953,58834,204.0917569,3,96.1973934139562,0.000127771131532606,0,0.000324642213685964
"35","1303007",6,0,1274962.14169623,159.350229776171,14168.8306690874,-57.6565646489192,-1.68049347949561,103.190248351607,20078,193.5293836,4,89.983582376904,0.00012498428350521,0,2.98834545273434e-05
"36","1303106",283,1,510970.15853799,169.622418187978,5633.38168246411,-58.6020582628856,-3.9882212941914,36.9761984843172,34498,201.721626,3,90.7039833868465,0.000331961495898917,1,0.000820337410864398
"37","1303205",59,1,3654919.25392764,61.2478573354525,37940.2750817582,-61.7016380913313,-2.04706283353903,56.86788152069,17199,211.1100469,0,96.3334937886346,1.67576499178838e-05,1,0.000343043200186057
"38","1303304",203,0,3983637.40616376,618.635652555653,41363.6139319005,-60.4753906922119,-6.82248399291265,86.9438179148216,23905,206.4738188,4,96.307769739904,0.000155294166983787,0,0.000849194729136164
"39","1303403",400,0,302980.460896336,242.724250778175,5978.92471231998,-56.8540880469685,-2.68835958742432,24.4700727922607,110411,178.3359359,5,50.6747409399594,0.000801121795313468,0,0.000362282743567217
"40","1303536",56,0,2252360.05782141,308.724710597919,25536.2641623787,-59.9890021996866,-1.37233244564322,97.3095950059504,31903,191.3530024,1,88.2024106384248,0.00013706721069123,0,0.000175532081622418
"41","1303569",110,0,568590.490922051,137.770760185706,5839.17205021166,-59.6383833168627,-2.52983414056458,92.2385961111662,29771,203.7581408,2,97.3751905291849,0.000242302258629564,0,0.000369487084746901
"42","1303601",8,0,6168857.95496273,76.4319179155712,63128.4205266189,-65.5220554102871,-0.318513265136551,123.851955098693,21702,224.1825421,0,97.7191873882153,1.23899623680074e-05,0,3.68629619389918e-05
"43","1303700",1,0,1171756.15001168,62.377941346525,12362.140730686,-69.0881665341356,-3.05109333973206,94.4245458234911,24005,258.5847538,0,94.7858607614037,5.32345755948481e-05,0,4.16579879191835e-06
"44","1303809",607,0,10698213.2103815,272.155766423427,109674.55532693,-67.9978541542609,0.374374801669625,115.817848896354,42342,284.3869586,0,97.5450794260451,2.54393664690967e-05,0,0.00143356478201313
"45","1303957",1,0,1008203.70267129,110.877619431976,10789.13920272,-58.7026725019321,-1.94602047477092,93.0580463907044,12451,193.2735799,2,93.4461669024643,0.000109975413835715,0,8.03148341498675e-06
"46","1304062",15,0,312825.854557471,60.1606069028303,3239.15125840062,-69.681396371482,-4.02772670456334,96.2578910460953,59684,251.3041789,0,96.5764885928585,0.000192313410245245,0,2.51323637825883e-05
"47","1304104",4,0,8799389.88204009,209.24695934538,89712.5319777258,-64.8926816804488,-6.10610614121992,84.8962346658764,18266,222.0062348,3,98.0842886501613,2.37797122471481e-05,0,2.18986094383007e-05
"48","1304203",336,0,2294401.27105537,257.317754386134,23808.9432355715,-65.528329022726,-4.46823090577949,85.2046801733055,62662,229.1002831,1,96.3672032124233,0.000112150284099073,0,0.000536210143308544
"49","1304302",3,0,2708032.29326807,114.9295120189,28030.1654982176,-59.0300346858406,-0.894060958890007,131.727869463672,17264,192.4181929,3,96.6113558423433,4.24402294997015e-05,0,1.73772011121409e-05
"50","1304401",2,0,152912.636570176,75.5800732157043,2919.66268355068,-57.7703710300416,-2.8124565642905,12.1683118605969,20621,173.7666178,5,52.3733914303465,0.000494269635989296,0,9.69885068619369e-06
"51","1303502",0,0,4119605.63654647,144.481836959998,41786.454359675,-68.1973279902043,-7.7583057959848,161.039168580307,19265,195.0918208,4,98.5871067472526,3.50717640733009e-05,0,0
"52","1301951",0,0,2497858.42436731,69.7138082094304,25384.8553877227,-68.1142139874118,-6.6832380549633,137.797403734878,8205,214.2581069,3,98.3995530490747,2.79094313470102e-05,0,0
"53","1303908",0,0,1904272.01030282,75.6220153977142,19832.8665811593,-69.4497800584112,-4.49700450007308,125.741729224816,35757,251.8838877,0,96.0159744185358,3.97117717366904e-05,0,0
"54","1301803",0,0,1183635.84582705,136.097304034808,12096.2116459299,-71.4158575440169,-7.18111854418812,190.616988247201,26118,193.878217,2,97.8517804146824,0.000114982411621466,0,0
"55","1301654",0,0,736961.019840827,215.502067686865,7610.46980565838,-72.8451399036807,-7.22989903559174,210.515617318632,15561,191.2950035,2,96.8351545515492,0.000292419899947232,0,0
"56","1300060",0,0,442839.186413815,42.8393319285323,4779.88476140343,-68.2872951491768,-3.41820569681024,82.4760010689321,10644,243.6057882,0,92.6464148235641,9.67378977354111e-05,0,0
"57","1304237",0,0,605651.763869282,50.1065778357791,6461.36382344041,-67.8277119649256,-2.69156700068821,87.2493119141903,18322,244.9272751,0,93.7343539876381,8.27316633500199e-05,0,0
"58","1301605",0,0,1133922.59788008,55.2821233801791,12165.0019809576,-66.3583783645019,-2.49224575820988,59.86950389288,21295,236.7536382,0,93.2118712068488,4.87529955603069e-05,0,0
"59","1302801",0,0,1519950.65961726,87.6354898880135,16985.8689436625,-65.0385564225881,-2.42833539988439,50.759556125073,18367,248.2224989,0,89.4832442578312,5.76567991424675e-05,0,0
"60","1304260",0,0,971761.405982497,111.093615531211,10291.8110259814,-65.4119303609296,-3.16695667383923,69.6957948382882,12963,241.1254378,0,94.420836481481,0.000114321905405257,0,0
"61","1302009",0,0,402917.468481975,50.7928524027803,4250.0450552544,-58.6199802490795,-2.49858929290973,77.9490797040865,8864,187.0837973,4,94.8031052009301,0.000126062671331046,0,0
"62","1304005",0,0,303754.854406556,110.413703243251,3765.53891730418,-58.5362922013966,-2.82214127219467,60.8428791906029,9014,180.4887451,4,80.667033611226,0.000363496094437619,0,0
